UP 127.0.0.1 Ping Successful
hiUP 127.0.0.1 Ping Successful
hiUP 127.0.0.1 Ping Successful
hiUP 127.0.0.1 Ping Successful
hiUP 127.0.0.1 Ping Successful
UP 127.0.0.1 Ping Successful
UP 127.0.0.1 Ping Successful
UP 192.168.3.1 Ping Successful
UP 192.168.3.1 Ping Successful
UP 192.168.3.1 Ping Successful
17/03/2021 16:47:48UP 192.168.3.1 Ping Successful
17/03/2021 16:47:50UP 192.168.3.1 Ping Successful
17/03/2021 16:47:52UP 192.168.3.1 Ping Successful
17/03/2021 16:49:41UP 192.168.3.1 Ping Successful
17/03/2021 16:49:43UP 192.168.3.1 Ping Successful
17/03/2021 16:49:45UP 192.168.3.1 Ping Successful
17/03/2021 16:49:47UP 192.168.3.1 Ping Successful
17/03/2021 16:49:49UP 192.168.3.1 Ping Successful
17/03/2021 16:49:51UP 192.168.3.1 Ping Successful
17/03/2021 16:49:53UP 192.168.3.1 Ping Successful
17/03/2021 16:49:55UP 192.168.3.1 Ping Successful
17/03/2021 16:50:04Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:50:09Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:50:14Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:50:20 Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:50:25 Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:50:30 Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:50:45 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:50:50 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:50:55 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:00 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:05 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:10 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:15 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:20 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:25 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:31 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:36 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:41 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:46 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:51 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:51:56 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:01 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:06 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:11 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:16 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:21 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:26 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:31 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:36 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:41 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:46 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:51 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:52:56 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:01 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:06 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:11 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:17 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:21 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:26 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:31 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:36 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:41 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:46 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:51 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:53:56 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:54:01 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:54:06 -- Down 192.168.3.108 Ping Unsuccessful
